,,C,K,sig
2021-10-08,0,364.6,280.0,10.6611
2021-10-08,1,353.6,285.0,10.459000000000001
2021-10-08,2,348.6,290.0,7.605499999999999
2021-10-08,3,297.55,300.0,7.3047
2021-10-08,4,291.76,305.0,7.159199999999999
2021-10-08,5,295.8,320.0,9.2041
2021-10-08,6,281.01,325.0,6.596699999999999
2021-10-08,7,243.15,365.0,5.5653999999999995
2021-10-08,8,222.8,375.0,5.324199999999999
2021-10-08,9,253.65,380.0,7.2681
2021-10-08,10,213.0,425.0,5.916
2021-10-08,11,188.25,430.0,5.8459
2021-10-08,12,186.7,435.0,5.7036
2021-10-08,13,144.65,450.0,3.6768
2021-10-08,14,165.2,460.0,3.4745999999999997
2021-10-08,15,147.62,465.0,3.375
2021-10-08,16,133.9,470.0,3.2758999999999996
2021-10-08,17,133.04,475.0,3.1776999999999997
2021-10-08,18,121.07,480.0,3.0801
2021-10-08,19,147.35,485.0,2.9829000000000003
2021-10-08,20,140.04,490.0,2.8867000000000003
2021-10-08,21,136.85,495.0,2.7188
2021-10-08,22,137.17,500.0,2.5693
2021-10-08,23,120.4,505.0,2.5327
2021-10-08,24,124.8,510.0,2.4404
2021-10-08,25,118.28,515.0,2.3486000000000002
2021-10-08,26,115.49,520.0,2.2412
2021-10-08,27,112.61,525.0,2.2275
2021-10-08,28,105.25,530.0,2.1348
2021-10-08,29,102.52,535.0,1.8906
2021-10-08,30,99.3,540.0,1.9512
2021-10-08,31,89.63,545.0,1.8594
2021-10-08,32,87.5,550.0,1.6455000000000002
2021-10-08,33,83.15,555.0,1.5293
2021-10-08,34,74.44,560.0,1.5371000000000001
2021-10-08,35,67.75,565.0,1.5044
2021-10-08,36,62.5,570.0,1.272
2021-10-08,37,59.78,575.0,0.7265999999999999
2021-10-08,38,54.5,580.0,1.1343
2021-10-08,39,52.45,585.0,1.1340000000000001
2021-10-08,40,49.95,590.0,0.5488000000000001
2021-10-08,41,37.99,595.0,0.8665
2021-10-08,42,31.2,600.0,0.7751
2021-10-08,43,29.9,605.0,0.7139
2021-10-08,44,21.42,610.0,0.6093999999999999
2021-10-08,45,17.6,615.0,0.5586
2021-10-08,46,12.21,620.0,0.36329999999999996
2021-10-08,47,8.1,625.0,0.3762
2021-10-08,48,4.8,630.0,0.3157
2021-10-08,49,2.5,635.0,0.3024
2021-10-08,50,1.23,640.0,0.31370000000000003
2021-10-08,51,0.7,645.0,0.3408
2021-10-08,52,0.41,650.0,0.3872
2021-10-08,53,0.33,655.0,0.43310000000000004
2021-10-08,54,0.21,660.0,0.4858
2021-10-08,55,0.2,665.0,0.5381
2021-10-08,56,0.15,670.0,0.5722999999999999
2021-10-08,57,0.11,675.0,0.6182
2021-10-08,58,0.1,680.0,0.6191
2021-10-08,59,0.1,690.0,0.752
2021-10-08,60,0.08,700.0,0.7656000000000001
2021-10-08,61,0.05,710.0,0.8086
2021-10-08,62,0.04,720.0,0.9258
2021-10-08,63,0.04,730.0,0.9609000000000001
2021-10-08,64,0.03,740.0,1.0156
2021-10-08,65,0.04,750.0,1.1172
2021-10-08,66,0.01,760.0,1.1719
2021-10-08,67,0.03,770.0,1.3594
2021-10-08,68,0.01,780.0,1.4531
2021-10-08,69,0.01,790.0,1.3437999999999999
2021-10-08,70,0.01,800.0,1.3437999999999999
2021-10-15,0,260.85,250.0,0.0
2021-10-15,1,232.55,260.0,0.0
